"ID"	"Gender"	"Age"	"Org_type"	"Role"	"info_work"	"info_org"	"info_vision"	"info_change"	"info_intracomm"	"info_mgmttrust"	"info_mgmttocow"	"info_cowtomgmt"	"org_openmind"	"org_intracommtrust"	"org_participation"	"org_gossip"	"org_discuss_mediaimage"	"org_discuss_news"	"org_discuss_meetings"	"org_email"	"org_discuss_socmedia"	"org_discuss_consumer"	"cow_com_dialogue"	"cow_com_criticism"	"cow_com_feedback"	"cow_com_checkinfo"	"cow_com_speakwell"	"rarversioncow_com_responsibility"	"extcomm"	"femcomm_performance"	"femcomm_mgmt"	"femcomm_opportunity"	"femcomm_support"	"femcomm_barriers"	"publicimage_competence"	"publicImage_responsibility"	"publicImage_openess"	"publicImage_efficiency"	"publicImage_credibility"	"publicImage_visibility"	"stakeholderimage_competence"	"stakeholderimage_responsibility"	"stakeholmderimage_openess"	"stakeholderimage_efficiency"	"stakeholderimage_credibility"	"stakeholderimage_visibility"	"mediaimage_correct"	"mediaimage_fair"	"mediaimage_nuance"	"socialmediaimage_correct"	"socialmediaimage_fair"	"socialmediaimage_nuance"	"mediaimage_feeling"	"mediaimage_workeffect"	"mediaimage_importance"	"mediaimage_reactions"	"mediaimage_fakenews"
4045	2	1959	2	2	4	3	1	2	1	4	NA	NA	1	3	4	4	5	4	1	1	1	1	4	2	4	5	4	NA	NA	NA	NA	NA	NA	NA	4	4	4	NA	NA	2	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	3	3	4	5
4046	2	1955	2	2	4	4	2	4	2	3	2	1	4	5	5	4	NA	3	5	3	2	4	5	4	5	5	5	5	5	NA	NA	NA	NA	NA	4	4	5	4	4	4	3	2	4	4	4	3	4	4	4	NA	NA	NA	3	3	3	2	4
4047	2	1955	2	1	4	4	4	5	2	4	4	5	1	4	4	4	5	3	4	5	4	5	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	4	3	2	4	4	4	4	4	4	NA	4	4	2	2	NA	NA	NA	3	3	4	2	4
4048	2	1967	2	3	4	4	4	4	3	3	3	3	4	4	4	3	4	3	4	5	4	4	5	5	5	4	3	4	5	3	3	3	3	3	3	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	NA	NA	3	NA	NA	3	3	3	3	3
4049	2	1965	2	2	4	4	4	3	3	3	4	4	4	4	3	4	4	4	4	4	3	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	5	4	4	3	4	5	4	4	4	4	3	5	4	4	4	3	3	3	3	3	3	2	4
4050	1	1968	2	2	4	4	NA	3	NA	3	NA	NA	4	4	3	NA	3	3	3	NA	NA	NA	3	3	4	4	4	3	3	NA	NA	NA	NA	NA	5	4	3	4	4	5	NA	NA	NA	NA	NA	NA	4	2	NA	NA	NA	NA	2	3	1	4	4
4051	1	1974	2	2	4	5	5	5	3	4	4	4	5	4	5	3	3	3	5	5	4	5	5	4	5	4	4	5	5	NA	NA	NA	NA	NA	4	4	4	5	5	5	4	4	4	4	4	4	4	4	4	3	3	3	3	3	4	3	4
4052	2	1970	2	2	5	5	3	4	2	3	4	3	4	4	2	4	3	2	3	2	2	2	4	4	4	4	2	3	NA	NA	NA	NA	NA	NA	2	2	4	2	2	3	3	3	3	3	3	3	2	2	2	NA	NA	NA	2	2	NA	4	4
4053	1	1964	2	2	2	1	1	1	1	1	4	3	1	1	1	4	1	1	1	1	1	2	4	4	5	5	3	2	5	NA	NA	NA	NA	NA	1	1	1	2	2	3	1	1	NA	2	2	3	4	4	4	4	4	4	2	1	4	4	4
4054	2	1969	2	2	5	5	4	4	5	4	NA	NA	5	5	5	2	3	3	4	4	1	5	5	5	5	4	4	4	NA	NA	NA	NA	NA	NA	5	5	4	5	5	5	5	5	2	5	5	5	NA	NA	NA	NA	NA	NA	3	3	3	2	3
4055	1	1953	2	2	5	5	5	5	5	5	3	3	4	5	5	1	4	4	5	NA	2	4	4	4	4	5	4	4	5	NA	NA	NA	NA	NA	5	5	5	4	5	5	5	5	5	5	5	5	5	5	4	5	4	5	4	4	3	3	4
4056	1	1967	2	2	2	4	4	2	1	4	4	4	2	3	3	3	1	2	1	2	1	2	4	3	3	NA	4	4	5	NA	NA	NA	NA	NA	NA	4	4	2	3	3	4	4	4	4	4	5	2	NA	NA	NA	NA	NA	3	3	5	5	5
4057	1	1975	2	1	4	4	4	3	3	4	NA	2	4	5	3	4	2	4	2	2	2	4	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	4	3	4	4	4	5	5	4	5	4	5	4	4	4	3	3	3	2	2	5	4	5
4058	2	1977	2	2	4	4	5	5	3	5	1	1	5	5	5	3	4	4	4	4	3	5	4	5	5	5	5	5	5	NA	NA	NA	NA	NA	4	5	4	4	4	5	5	5	4	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	3	NA
4059	1	1971	2	1	4	4	4	4	4	5	3	4	4	5	4	4	5	5	5	2	2	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	4	4	4	4	5	5	4	4	5	5	4	4	4	NA	NA	2	3	2	4	5	5
4060	2	1968	2	2	2	2	5	2	2	2	5	1	1	4	5	2	5	5	5	4	2	5	5	5	5	5	3	4	5	NA	NA	NA	NA	NA	4	4	2	2	2	2	5	5	4	4	5	4	2	2	2	2	2	2	3	3	4	4	5
4061	1	1958	2	2	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	2	2	2	3	3	3	3	3	3	3	NA	NA	NA	NA	NA	3	2	3	2	3	4	3	2	3	2	3	4	3	3	2	NA	NA	NA	3	3	3	4	4
4062	2	1982	2	1	5	4	4	5	4	5	1	1	5	5	4	3	4	4	3	1	3	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	5	5	3	4	5	5	5	5	4	5	5	4	3	2	2	2	2	3	2	5	3	4
4063	1	1953	2	2	5	5	4	5	NA	4	3	3	2	4	4	NA	5	5	4	4	3	5	5	4	4	5	4	5	4	NA	NA	NA	NA	NA	2	2	1	2	2	2	2	2	2	2	2	2	4	4	4	NA	NA	NA	2	2	5	2	2
4064	2	1959	2	2	4	4	5	4	4	4	NA	NA	4	5	5	3	4	4	4	3	NA	5	5	4	3	5	5	5	4	NA	NA	NA	NA	NA	4	5	5	4	5	5	5	5	5	5	5	5	4	4	4	NA	NA	NA	4	3	4	4	4
4065	2	1986	2	2	4	4	3	3	3	3	3	3	2	3	4	1	3	3	4	4	2	4	5	5	5	5	4	5	5	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	5	4	5	NA	4	4	5	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA
4066	1	1970	2	1	4	3	4	2	3	3	3	2	4	3	4	3	3	3	3	4	4	5	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
4067	1	1958	2	2	4	2	1	1	1	4	NA	NA	4	5	4	NA	NA	NA	NA	NA	1	4	4	5	4	4	NA	NA	NA	NA	NA	NA	NA	NA	4	4	4	4	4	5	5	5	3	4	4	5	4	4	4	NA	NA	NA	3	3	3	4	4
4068	2	1961	2	2	4	1	2	1	4	2	4	1	1	2	1	NA	4	4	1	NA	3	3	4	4	4	4	3	NA	NA	NA	NA	NA	NA	NA	4	4	NA	NA	2	3	5	5	NA	NA	NA	2	4	4	5	NA	NA	NA	2	3	3	4	5
4069	1	1970	2	2	2	4	4	1	1	1	4	1	2	2	2	1	4	4	2	2	4	4	5	5	5	5	4	4	5	NA	NA	NA	NA	NA	4	4	4	4	4	5	5	4	4	2	2	5	5	5	4	NA	NA	NA	2	2	5	4	4
4070	1	1958	2	2	4	4	1	3	2	2	NA	2	3	4	3	4	1	2	3	1	1	3	5	4	4	4	3	2	NA	NA	NA	NA	NA	NA	3	3	2	3	4	3	4	4	3	4	4	5	4	4	3	NA	NA	NA	2	2	2	4	4
