"ID"	"Gender"	"Age"	"Org_type"	"Role"	"info_work"	"info_org"	"info_vision"	"info_change"	"info_intracomm"	"info_mgmttrust"	"info_mgmttocow"	"info_cowtomgmt"	"org_openmind"	"org_intracommtrust"	"org_participation"	"org_gossip"	"org_discuss_mediaimage"	"org_discuss_news"	"org_discuss_meetings"	"org_email"	"org_discuss_socmedia"	"org_discuss_consumer"	"cow_com_dialogue"	"cow_com_criticism"	"cow_com_feedback"	"cow_com_checkinfo"	"cow_com_speakwell"	"rarversioncow_com_responsibility"	"extcomm"	"femcomm_performance"	"femcomm_mgmt"	"femcomm_opportunity"	"femcomm_support"	"femcomm_barriers"	"publicimage_competence"	"publicImage_responsibility"	"publicImage_openess"	"publicImage_efficiency"	"publicImage_credibility"	"publicImage_visibility"	"stakeholderimage_competence"	"stakeholderimage_responsibility"	"stakeholmderimage_openess"	"stakeholderimage_efficiency"	"stakeholderimage_credibility"	"stakeholderimage_visibility"	"mediaimage_correct"	"mediaimage_fair"	"mediaimage_nuance"	"socialmediaimage_correct"	"socialmediaimage_fair"	"socialmediaimage_nuance"	"mediaimage_feeling"	"mediaimage_workeffect"	"mediaimage_importance"	"mediaimage_reactions"	"mediaimage_fakenews"
1861	1	1966	1	2	5	5	5	4	4	4	1	1	5	5	5	1	4	4	4	4	3	4	5	4	5	5	5	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	NA	4	3	4
1862	1	1969	1	2	2	2	2	1	1	1	2	3	2	3	5	2	4	4	2	3	4	4	5	4	4	5	2	3	4	NA	NA	NA	NA	NA	3	2	3	3	3	3	2	3	3	1	3	3	4	4	4	NA	NA	NA	2	3	3	2	3
1863	1	1956	1	2	2	4	5	5	1	5	4	1	1	5	2	5	4	2	1	1	1	4	4	5	4	4	4	1	1	NA	NA	NA	NA	NA	2	2	4	1	2	2	4	4	5	4	5	4	2	4	2	2	NA	1	1	2	5	4	5
1864	1	1975	1	2	4	5	5	5	5	5	4	5	4	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	NA	5	NA	NA	NA	4	4	4	4	4	4	4	4	5	5	5
1865	2	1952	1	2	4	4	4	4	3	4	3	3	4	4	3	3	4	4	4	4	3	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	5	5	4	4	5	5	5	5	4	4	5	4	3	3	3	3	3	3	3	3	4	4	4
1866	1	1972	1	1	5	5	5	5	4	5	1	4	4	5	4	4	3	1	4	2	2	4	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	4	4	3	3	4	4	4	2	2	4	4	4	4	2	4	4	1	4	4	4	4	5
1867	1	1968	1	2	4	5	4	5	NA	4	4	1	4	4	5	3	2	4	5	5	1	5	5	5	4	5	NA	5	4	NA	NA	NA	NA	NA	2	2	4	2	2	4	NA	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	3	NA	4	2	3
1868	2	1968	1	2	5	4	4	4	3	4	3	4	4	4	4	3	3	4	4	4	3	4	4	4	4	5	4	3	5	NA	NA	NA	NA	NA	5	5	5	5	5	4	5	5	5	5	5	5	5	4	4	3	3	3	4	4	5	4	5
1869	1	1975	1	1	3	4	4	4	4	5	1	1	4	4	5	2	5	5	5	4	4	3	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	5	4	4	4	4	5	5	4	4	5	4	4	4	NA	4	4	4	4	4	5	4	5
1870	1	1950	1	2	2	4	5	2	3	4	NA	1	2	4	3	NA	1	1	3	4	1	2	5	4	4	5	2	3	3	NA	NA	NA	NA	NA	4	5	4	3	4	4	5	5	5	5	5	5	5	5	4	NA	NA	NA	2	2	5	2	NA
1871	1	1973	1	2	2	2	2	1	3	3	3	2	4	3	4	4	2	2	3	1	4	1	5	4	4	4	3	4	3	NA	NA	NA	NA	NA	4	2	3	4	3	3	3	3	3	3	3	3	3	3	3	NA	NA	NA	NA	NA	NA	1	NA
1872	1	1973	1	2	4	2	4	4	NA	4	4	3	4	4	5	1	2	5	1	4	1	5	5	5	4	5	5	5	4	NA	NA	NA	NA	NA	3	4	5	NA	NA	4	4	4	5	3	5	2	2	2	4	2	2	2	4	2	2	5	5
1873	1	1956	1	1	5	5	NA	5	4	4	2	4	4	5	5	4	5	5	4	5	4	5	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	5	5	5	4	5	5	5	5	5	4	4	5	4	4	4	NA	NA	NA	4	3	5	5	5
1874	1	1995	1	2	4	2	4	5	3	4	NA	1	2	3	4	3	4	4	5	4	4	5	4	4	5	5	4	5	4	NA	NA	NA	NA	NA	4	5	5	4	4	4	4	4	4	4	3	3	4	3	4	4	4	4	2	3	5	1	5
1875	1	1973	1	2	NA	2	2	NA	2	5	NA	NA	NA	4	5	NA	3	4	4	NA	NA	1	NA	4	3	4	3	5	NA	NA	NA	NA	NA	NA	4	4	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	4	NA	2	NA	NA	NA	NA	NA	3	1	NA
1876	1	1951	1	1	4	4	4	2	2	4	4	3	2	4	4	4	5	5	5	5	4	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	3	4	4	4	5	5	4	4	5	4	4	2	2	NA	NA	NA	2	2	5	4	5
1877	1	1956	1	2	5	4	4	2	4	2	5	4	2	2	3	4	4	4	2	2	3	4	4	4	5	5	4	5	4	NA	NA	NA	NA	NA	4	4	4	4	4	4	4	4	4	4	4	5	4	2	4	NA	NA	NA	2	3	4	3	4
1878	2	1980	1	1	4	5	4	3	2	4	2	2	4	4	5	5	4	4	3	3	2	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	4	4	3	4	4	4	4	4	4	4	5	5	4	4	4	4	4	4	4	2	4
1879	2	1986	1	2	4	4	5	4	4	5	5	4	4	4	5	5	4	4	4	5	4	4	4	1	4	5	5	5	4	NA	NA	NA	NA	NA	5	5	4	5	5	5	4	4	4	4	4	4	5	5	5	4	4	4	5	4	NA	4	5
1880	2	1963	1	2	4	3	1	1	1	4	1	1	5	2	5	5	2	4	3	3	2	2	4	3	3	3	4	2	3	NA	NA	NA	NA	NA	5	5	5	4	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	3	3
1881	1	1961	1	1	5	4	5	5	5	5	5	4	5	4	4	4	4	4	4	4	3	3	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	NA	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1882	1	1985	1	2	5	4	4	4	4	4	2	2	4	4	5	5	4	4	4	5	5	4	4	NA	4	4	4	4	5	NA	NA	NA	NA	NA	4	4	5	5	5	5	4	4	4	4	4	4	3	4	4	4	4	4	4	2	2	2	4
1883	1	1964	1	2	4	4	4	5	4	4	2	1	4	5	4	4	4	3	4	5	3	4	5	3	4	4	4	4	4	NA	NA	NA	NA	NA	5	4	4	4	5	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	4	4	3	3
1884	1	1964	1	2	5	4	4	4	4	5	NA	4	4	5	4	3	4	4	4	5	4	4	5	4	4	5	4	5	5	NA	NA	NA	NA	NA	NA	2	5	NA	NA	NA	4	4	5	4	4	NA	NA	4	NA	4	3	3	2	2	3	1	NA
1885	1	1957	1	2	4	4	4	3	NA	5	NA	1	NA	5	4	NA	4	5	4	4	3	5	5	4	5	5	4	5	4	NA	NA	NA	NA	NA	4	NA	4	4	5	4	4	4	5	4	4	NA	4	3	3	NA	NA	NA	4	3	4	4	5
1886	2	1986	1	2	4	3	4	2	1	5	4	4	2	4	4	3	4	4	2	4	4	5	5	2	4	5	5	5	5	NA	NA	NA	NA	NA	4	4	5	2	4	4	4	4	4	2	2	4	5	5	5	NA	NA	NA	4	4	5	2	5
1887	1	1982	1	2	4	4	4	4	NA	4	2	1	4	4	3	NA	1	4	4	3	1	5	5	5	4	4	2	3	4	NA	NA	NA	NA	NA	2	2	3	3	2	4	3	3	3	3	3	3	4	3	2	3	4	4	2	2	4	3	4
1888	1	1978	1	2	4	5	4	2	2	4	1	1	3	4	4	3	2	2	4	5	4	2	5	4	5	5	4	5	NA	NA	NA	NA	NA	NA	4	5	NA	4	4	5	4	4	3	2	5	NA	2	NA	2	NA	NA	NA	3	3	4	4	5
1889	1	1971	1	2	2	3	3	2	1	3	2	1	1	3	2	3	1	1	1	1	1	3	3	3	4	3	NA	3	3	NA	NA	NA	NA	NA	3	3	3	3	3	4	3	2	1	1	2	3	2	2	2	1	2	2	2	2	3	3	3
1890	1	1964	1	2	5	4	3	1	1	3	4	2	4	4	2	5	3	2	2	3	NA	1	5	4	4	4	2	3	NA	NA	NA	NA	NA	NA	4	4	NA	NA	2	3	3	NA	NA	NA	NA	NA	5	5	5	NA	NA	NA	NA	NA	2	2	NA
1891	1	1974	1	1	5	5	4	4	3	4	1	2	4	5	4	2	2	4	3	2	2	4	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	5	4	4	4	4	4	5	5	5	5	5	NA	5	5	5	5	5	5	4	4	5	3	5
1892	1	1958	1	2	4	4	3	5	4	5	1	1	4	4	4	4	NA	NA	4	5	4	5	5	5	5	5	5	5	NA	NA	NA	NA	NA	NA	NA	NA	4	3	NA	NA	NA	NA	NA	NA	NA	NA	5	5	NA	NA	NA	NA	NA	2	5	2	5
1893	1	1969	1	1	4	4	5	2	2	3	3	3	4	5	5	2	4	4	4	2	1	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	5	4	5	4	5	5	4	4	5	4	4	4	4	NA	NA	NA	4	3	4	4	4
1894	1	1956	1	1	5	5	4	5	4	5	1	1	5	5	5	1	4	3	3	5	5	4	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	4	3	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	2	5	3	5
1895	2	1954	1	2	NA	NA	NA	NA	NA	NA	NA	NA	3	3	4	NA	NA	3	4	NA	3	NA	4	3	4	4	2	3	NA	NA	NA	NA	NA	NA	3	3	3	3	3	3	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1896	1	1978	1	2	4	4	5	4	3	4	4	3	4	5	4	NA	4	4	4	4	3	4	4	4	4	4	4	5	NA	NA	NA	NA	NA	NA	4	4	4	2	4	4	NA	NA	NA	NA	NA	NA	2	2	2	3	3	4	4	4	4	5	4
1897	2	1967	1	1	4	5	4	4	4	5	3	3	2	3	5	4	1	4	3	2	2	3	NA	NA	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	2	4	3	1	1	2	3	5	3	2	4	3	3	4	4	3	3	3	2	2	5	2	4
1898	1	1973	1	2	5	5	4	4	3	4	3	2	2	2	4	3	2	2	5	3	5	3	5	5	4	4	3	5	4	NA	NA	NA	NA	NA	4	3	2	4	2	1	5	4	3	3	4	3	3	3	3	3	3	3	2	3	3	1	2
1899	1	1973	1	2	4	3	3	3	3	3	NA	1	4	4	5	NA	3	4	3	4	1	4	5	4	5	4	4	4	4	NA	NA	NA	NA	NA	4	4	4	4	4	4	4	4	4	4	4	3	4	3	4	NA	NA	NA	3	3	4	2	4
1900	1	1981	1	2	2	5	4	4	2	3	1	3	1	3	3	4	4	4	3	5	5	3	3	4	4	5	5	4	5	NA	NA	NA	NA	NA	5	3	4	4	4	5	5	4	2	2	3	5	4	4	4	3	3	3	4	NA	4	5	5
1901	1	1970	1	2	2	1	1	1	2	2	4	3	3	3	3	4	1	2	2	1	1	3	5	5	5	5	3	3	5	NA	NA	NA	NA	NA	4	4	NA	NA	NA	NA	3	NA	NA	NA	NA	NA	3	3	NA	NA	NA	NA	3	3	NA	2	NA
1902	2	1952	1	2	5	3	4	4	5	5	3	3	5	5	4	5	4	4	3	4	NA	NA	NA	NA	4	5	5	5	NA	NA	NA	NA	NA	NA	5	5	4	5	5	5	5	5	NA	5	5	NA	NA	3	3	NA	NA	NA	4	NA	5	NA	NA
1903	1	1957	1	1	5	5	5	5	5	5	1	1	4	5	4	1	2	4	4	4	2	2	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	5	4	4	5	4	5	5	4	5	5	4	4	4	5	NA	NA	NA	4	2	5	4	5
1904	2	1965	1	1	5	5	4	4	NA	NA	NA	NA	5	5	5	4	5	5	5	4	2	4	NA	NA	NA	NA	NA	NA	2	NA	NA	NA	NA	NA	4	4	5	4	NA	5	4	4	4	5	5	4	5	4	4	NA	NA	NA	5	3	3	4	5
1905	1	1984	1	2	5	5	4	4	NA	5	NA	NA	2	5	2	1	4	4	4	5	5	4	5	4	4	5	5	5	5	NA	NA	NA	NA	NA	4	2	2	2	4	2	4	4	4	4	4	4	4	1	1	3	2	1	2	2	4	2	4
1906	2	1976	1	2	4	4	5	5	4	5	1	1	5	5	5	2	5	5	4	2	5	5	5	5	5	3	5	5	5	NA	NA	NA	NA	NA	4	4	4	4	5	4	4	5	4	4	5	5	4	4	4	4	4	4	3	3	5	5	5
1907	1	1980	1	2	5	4	4	4	NA	4	NA	1	4	4	5	NA	NA	NA	4	NA	1	NA	4	5	5	5	5	4	5	NA	NA	NA	NA	NA	3	4	3	4	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	4	3	2	2	5
1908	1	1958	1	2	2	3	3	4	NA	NA	NA	NA	3	3	3	NA	3	3	5	4	1	5	5	5	4	4	1	5	NA	NA	NA	NA	NA	NA	2	2	2	2	2	2	2	2	2	2	2	2	2	3	3	NA	NA	NA	2	3	4	2	5
1909	1	1965	1	2	5	NA	4	2	2	2	4	NA	2	3	4	NA	4	4	4	NA	1	5	5	5	4	4	3	3	4	NA	NA	NA	NA	NA	2	2	2	2	2	3	2	2	2	2	2	3	2	2	2	NA	NA	NA	3	3	1	2	4
1910	1	1958	1	1	4	4	4	3	3	3	3	3	2	3	4	3	4	4	3	4	4	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	2	4	4	3	3	4	4	4	4	4	4	4	4	4	4	3	3	3	2	3	3	3	5
1911	1	1978	1	2	4	5	4	5	4	4	3	1	3	4	2	2	3	4	4	5	NA	3	5	5	5	4	5	3	NA	NA	NA	NA	NA	NA	2	4	3	2	3	5	2	3	5	4	4	4	5	4	4	3	4	2	4	3	5	4	5
1912	1	1952	1	2	4	4	3	4	3	5	3	1	NA	4	4	NA	4	4	4	5	4	4	5	5	5	5	3	5	4	NA	NA	NA	NA	NA	4	4	5	2	4	4	4	4	5	3	4	4	2	2	2	3	3	3	3	2	5	4	4
1913	1	1954	1	2	5	NA	4	5	4	4	1	2	5	4	5	4	3	4	4	3	3	4	4	4	4	4	4	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	NA	5	5	5	5	5	4	4	4	4	NA	NA	NA	4	3	2	2	4
1914	1	1965	1	2	5	4	4	4	4	5	4	NA	4	4	5	4	4	3	4	4	5	5	5	5	5	5	5	4	4	NA	NA	NA	NA	NA	4	4	4	4	4	5	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	2	4
1915	1	1974	1	3	4	5	2	2	2	4	4	1	4	5	5	4	5	5	4	4	4	5	4	5	2	5	4	5	5	1	2	1	1	1	5	5	4	1	4	4	5	5	4	2	5	5	4	4	4	4	4	2	3	3	5	3	3
1916	1	1961	1	2	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	4	4	4	3	NA	NA	NA	NA	NA	NA	4	4	NA	3	3	3	3	3	3	NA	3
1917	1	1957	1	1	4	5	5	5	4	5	4	4	4	5	5	4	2	2	4	5	4	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	5	4	2	5	4	5	2	4	3	4	4	5	4	2	2	4	4	1	2	3	5	2	4
1918	1	1977	1	2	4	4	4	4	4	4	4	4	2	4	4	5	4	5	3	4	NA	4	5	5	5	5	4	5	5	NA	NA	NA	NA	NA	5	4	4	4	3	4	5	5	5	5	5	5	NA	NA	NA	3	3	3	4	3	5	5	5
1919	2	1958	1	2	4	4	4	4	2	5	4	3	2	3	4	4	5	5	2	4	5	3	5	5	4	2	3	4	4	NA	NA	NA	NA	NA	4	4	2	1	4	4	2	4	2	2	2	NA	4	4	4	4	4	4	3	2	4	3	4
1920	1	1947	1	2	5	5	4	4	4	5	1	1	5	4	4	NA	4	5	4	5	4	4	4	4	3	5	4	5	5	NA	NA	NA	NA	NA	4	5	4	4	5	4	3	2	3	4	4	3	2	1	2	NA	NA	NA	2	3	3	5	NA
1921	1	1971	1	2	5	5	5	5	5	5	NA	NA	4	4	5	4	NA	NA	NA	5	5	5	5	5	5	5	4	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	NA	5	5	5	5	4	4	4	4	4	4	3	3	5	4	5
1922	2	1963	1	1	4	4	5	4	3	5	2	2	4	5	5	2	5	4	4	2	1	4	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	5	4	4	5	5	4	5	4	4	4	4	2	3	2	NA	NA	NA	2	2	4	4	4
1923	1	1977	1	2	2	4	4	4	2	3	1	1	5	4	3	4	4	3	2	2	1	3	4	5	4	5	4	2	4	NA	NA	NA	NA	NA	2	3	4	2	4	4	4	5	5	4	4	5	2	2	2	3	2	1	3	3	5	3	4
1924	1	1974	1	2	5	4	NA	4	NA	NA	4	NA	4	NA	4	NA	4	4	5	NA	4	5	NA	4	5	4	3	4	5	NA	NA	NA	NA	NA	NA	NA	3	4	NA	2	NA	NA	NA	NA	NA	NA	3	4	NA	NA	NA	4	4	NA	NA	4	3
1925	1	1975	1	2	2	3	4	4	3	4	NA	1	5	NA	3	5	1	1	2	3	1	3	4	4	3	5	3	5	NA	NA	NA	NA	NA	NA	4	5	5	4	5	5	NA	NA	NA	NA	NA	NA	4	4	1	NA	NA	NA	2	3	4	2	4
1926	1	1958	1	2	NA	NA	4	4	4	4	NA	NA	4	5	NA	NA	1	1	1	1	1	1	5	4	4	4	5	5	4	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	4	5	5	5	5	5	5	NA	NA	NA	NA	4	4	4	3	4
1927	2	1988	1	2	5	5	5	5	NA	5	NA	NA	2	5	5	NA	1	2	1	5	1	1	5	5	2	5	1	NA	NA	NA	NA	NA	NA	NA	5	5	NA	2	5	5	5	5	5	5	5	5	5	5	5	NA	NA	NA	5	NA	5	3	5
1928	1	1959	1	1	4	5	5	5	2	3	3	3	2	3	5	5	3	4	5	5	4	5	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	5	4	5	3	3	5	4	5	5	4	5	5	5	5	4	NA	NA	NA	5	3	5	2	5
1929	1	1956	1	2	5	5	5	5	4	4	4	3	4	5	5	4	5	5	5	5	4	5	5	5	5	5	5	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	4	4	4	4	4	4	4	4	5	4	4	4	5	4	5	NA	5
1930	1	1957	1	1	4	4	4	4	2	4	1	1	4	4	4	4	5	5	5	3	4	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	2	4	4	4	4	2	5	5	5	4	5	3	4	2	4	2	2	2	2	2	5	4	3
1931	1	1983	1	2	5	3	NA	4	NA	5	4	NA	4	5	5	5	5	5	5	5	5	5	5	5	5	5	NA	5	NA	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	4	4	5	5	5	5	5	4	5	5	4	5	5	5	5
1932	1	1978	1	2	2	5	2	2	NA	2	NA	NA	2	2	2	4	3	3	1	5	1	1	4	4	3	5	4	2	NA	NA	NA	NA	NA	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	3	3	3	3	NA
1933	1	1971	1	2	4	4	4	3	3	4	3	4	3	4	4	3	4	4	4	5	3	4	4	4	4	4	3	3	4	NA	NA	NA	NA	NA	2	2	3	1	2	3	3	3	3	3	2	3	3	3	3	3	3	3	3	3	4	3	3
1934	1	1951	1	2	4	4	4	4	4	4	4	4	2	4	4	4	2	1	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	NA
1935	1	1964	1	2	4	4	4	2	4	4	3	3	3	4	4	3	4	5	5	5	4	2	4	4	4	4	4	3	5	NA	NA	NA	NA	NA	4	4	3	2	3	2	5	4	4	4	4	4	3	2	2	3	3	3	2	3	4	3	2
1936	2	1958	1	2	5	3	3	3	3	4	4	3	3	4	5	3	3	4	4	3	3	4	5	4	4	4	4	4	NA	NA	NA	NA	NA	NA	3	3	4	3	4	4	4	4	3	4	4	4	4	3	4	3	4	4	3	3	5	3	3
1937	1	1955	1	2	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	1	2	2	1	2	1	NA	NA	NA	NA	NA	4	4	4	4	4	4	4	4	4	4	NA	4	4	4	4	4	4	4	4	NA	NA	4	5
1938	1	1973	1	1	4	4	4	3	2	2	3	3	3	4	4	3	3	3	4	4	4	5	NA	NA	NA	NA	NA	NA	4	NA	NA	NA	NA	NA	4	4	3	2	3	4	4	3	4	3	4	4	2	3	3	3	3	3	2	3	4	3	3
1939	2	1976	1	3	4	2	1	2	1	4	2	1	4	4	4	4	4	4	2	2	1	3	4	4	5	4	3	2	5	1	1	1	1	1	3	2	2	2	2	4	2	2	2	2	2	3	2	2	2	2	2	2	3	2	5	NA	1
1940	1	1974	1	2	4	4	4	4	2	5	2	4	4	5	5	NA	2	1	4	5	1	1	4	3	4	5	5	5	5	NA	NA	NA	NA	NA	5	4	4	2	4	5	5	5	5	5	5	5	5	5	4	5	5	4	4	4	5	2	5
1941	2	1981	1	3	4	4	4	4	3	4	3	NA	3	5	4	NA	4	4	3	3	4	3	4	4	4	5	3	4	3	NA	NA	NA	NA	NA	4	4	4	3	4	5	5	5	4	4	5	4	4	4	3	3	3	3	3	3	4	2	4
1942	2	1973	1	2	2	2	4	3	2	4	NA	2	2	4	5	2	2	4	4	3	3	4	4	3	4	5	4	4	4	NA	NA	NA	NA	NA	4	4	3	4	3	3	4	4	4	4	4	4	4	3	2	3	3	3	4	3	3	NA	4
1943	1	1960	1	1	4	4	3	4	NA	NA	NA	NA	4	5	4	NA	NA	NA	4	2	1	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	2	4	NA	NA	4	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
1944	1	1955	1	2	4	4	1	4	2	4	4	4	3	4	2	2	1	1	1	1	1	1	4	4	3	4	5	2	5	NA	NA	NA	NA	NA	4	4	4	2	4	5	NA	NA	NA	NA	NA	NA	2	2	2	4	4	4	2	3	1	2	4
1945	1	1986	1	2	2	1	2	1	1	1	4	1	2	3	2	1	1	2	2	1	1	4	4	5	2	5	2	1	1	NA	NA	NA	NA	NA	1	1	4	2	1	5	1	1	2	1	4	4	4	4	4	4	5	5	2	3	4	2	5
1946	1	1981	1	2	5	5	4	5	5	5	5	5	5	5	5	5	4	4	4	5	5	5	5	4	4	5	4	5	4	NA	NA	NA	NA	NA	5	4	4	3	4	4	3	3	3	4	3	4	4	3	4	3	2	3	2	2	4	4	3
1947	2	1982	1	2	5	4	4	4	4	5	2	1	5	5	5	1	3	2	2	4	1	4	5	4	4	5	4	3	3	NA	NA	NA	NA	NA	5	4	4	3	4	4	4	4	4	4	4	4	4	4	4	3	3	3	4	3	4	1	4
1948	1	1992	1	2	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	NA	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4
1949	2	1967	1	3	5	4	4	4	4	5	4	4	4	5	5	4	4	4	4	4	4	3	5	5	4	5	4	5	5	1	1	1	NA	1	4	5	4	3	5	4	4	5	3	4	5	4	4	4	4	2	2	2	2	3	5	2	4
1950	1	1969	1	1	5	5	5	4	4	5	1	NA	5	5	5	2	3	4	4	3	4	4	NA	NA	NA	NA	NA	NA	5	NA	NA	NA	NA	NA	4	4	5	4	4	5	5	5	5	4	5	5	5	5	5	5	5	4	5	4	5	4	5
1951	1	1992	1	2	4	5	4	5	4	5	3	4	5	5	5	4	4	4	4	3	2	3	5	4	4	5	5	5	5	NA	NA	NA	NA	NA	4	5	3	3	5	4	3	5	4	4	5	5	3	4	4	NA	NA	3	3	2	4	3	4
1952	2	1978	1	2	3	3	4	2	2	3	4	3	1	2	4	3	4	4	3	2	2	3	4	3	4	4	3	4	3	NA	NA	NA	NA	NA	1	1	2	2	2	3	2	2	2	2	2	3	2	4	2	4	4	4	2	3	5	5	4
1953	1	1974	1	2	5	4	5	5	4	4	3	3	5	4	5	3	3	4	5	4	4	4	5	4	4	5	4	5	5	NA	NA	NA	NA	NA	5	5	5	4	4	5	4	5	NA	4	4	5	4	3	4	4	4	5	4	4	4	3	3
1954	1	1957	1	2	4	4	4	4	NA	5	NA	NA	NA	4	4	NA	NA	NA	4	5	3	4	4	4	3	4	4	5	NA	NA	NA	NA	NA	NA	NA	4	3	3	NA	NA	4	4	4	4	4	4	4	4	3	NA	NA	NA	3	2	4	3	3
1955	2	1967	1	3	4	4	5	4	3	4	NA	NA	4	4	3	4	3	4	3	5	4	3	5	5	5	5	4	5	5	1	1	1	NA	NA	3	4	2	2	NA	5	5	5	5	4	5	4	4	4	4	2	2	2	4	4	5	2	4
1956	1	1978	1	2	5	5	4	1	NA	5	1	1	3	5	5	2	5	4	5	5	4	4	5	5	5	5	5	5	5	NA	NA	NA	NA	NA	5	5	5	4	5	5	5	5	5	5	5	5	4	4	4	4	4	4	4	3	NA	4	5
1957	2	1965	1	2	5	4	4	4	4	5	2	2	4	4	4	4	4	5	5	4	4	5	5	1	4	5	5	4	5	NA	NA	NA	NA	NA	5	5	5	5	5	5	5	5	5	5	5	5	4	4	4	4	4	4	5	3	4	4	2
1958	1	1980	1	2	4	2	4	4	2	NA	NA	NA	4	5	4	NA	2	4	2	2	NA	4	4	4	4	4	4	4	5	NA	NA	NA	NA	NA	4	4	2	2	4	4	4	4	4	4	4	4	4	4	4	NA	NA	NA	4	3	4	2	4
1959	1	1989	1	3	5	4	4	4	3	3	2	2	2	4	4	NA	4	5	2	3	4	4	4	4	2	4	5	5	5	1	2	2	2	4	4	4	3	5	4	5	4	4	4	2	4	4	4	2	2	4	4	4	2	3	1	4	5
1960	1	1976	1	2	2	3	3	3	3	2	2	2	2	NA	3	NA	3	3	2	3	3	3	1	3	3	1	1	1	1	NA	NA	NA	NA	NA	4	5	5	5	5	5	NA	NA	NA	NA	NA	NA	4	4	4	NA	NA	NA	4	4	4	4	4
1961	1	1974	1	2	4	3	4	4	2	4	4	2	3	3	4	4	3	4	3	3	3	4	5	5	5	4	4	4	4	NA	NA	NA	NA	NA	2	2	3	2	3	4	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3	3
1962	1	1981	1	2	4	4	4	4	4	4	4	3	4	4	5	4	3	3	4	3	3	4	4	4	5	5	4	5	4	NA	NA	NA	NA	NA	5	NA	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	4	3	3	4	3	4
1963	2	1985	1	2	5	4	3	3	4	5	5	2	5	5	5	2	3	3	4	3	4	4	5	3	4	5	5	5	5	NA	NA	NA	NA	NA	5	5	5	5	5	4	5	5	5	5	5	3	3	4	4	3	3	4	NA	NA	NA	NA	NA
